sample	lat	long	pH	M.O.	P	K	Ca	Mg	Al	H+alSMP	SB	CTC	V 
S1	229093.414	7486564.757	4.3	16	32	4.4	9	3	11	88	16.4	104.4	16
S2	229074.216	7486567.629	4.4	19	36	4.4	28	6	5	71	38.4	109.4	35
S3	229053.665	7486570.7	4.5	17	48	3.7	12	4	3	71	19.7	90.7	22
S4	229033.055	7486573.446	4.5	17	52	4.2	12	5	4	52	21.2	73.2	29
S5	229013.696	7486576.851	4.6	17	51	5.2	15	6	3	47	26.2	73.2	36
S6	228993.478	7486580.136	5.2	18	54	4.9	27	18	0.02	34	49.9	83.9	59
S7	229088.402	7486583.494	5.6	15	18	3.9	20	8	0.02	34	31.9	65.9	48
S8	229070.29	7486584.711	4.8	19	25	5.4	13	5	1	42	23.4	65.4	36
S9	229051.378	7486587.408	4.5	23	35	5.6	10	4	5	52	19.6	71.6	27
S10	229031.012	7486591.545	4.5	22	46	5.2	15	5	3	52	25.2	77.2	33
S11	229012.307	7486596.647	4.7	21	53	4.2	38	8	1	47	50.2	97.2	52
S12	228993.356	7486601.844	4.9	18	47	4	25	8	0.02	38	37	75	49
S13	229001.846	7486636.229	4.7	18	53	4.6	32	11	0.02	34	47.6	81.6	58
S14	228984.408	7486643.322	5.1	22	88	5.3	37	14	0.02	38	56.3	94.3	60
S15	228967.015	7486651.183	5.1	21	122	5.5	33	11	0.02	38	49.5	87.5	57
S16	228948.957	7486659.061	5.3	19	119	5.2	41	14	0.02	31	60.2	91.2	66
S17	228931.639	7486667.119	5.4	18	74	4.8	36	13	0.02	28	53.8	81.8	66
S18	228914.338	7486674.996	5.8	20	88	4.6	63	30	0.02	16	97.6	113.6	86
S19	229005.332	7486654.1	5.3	20	82	5.9	37	14	0.02	31	56.9	87.9	65
S20	228988.344	7486662.249	5.3	18	91	5.5	37	13	0.02	31	55.5	86.5	64
S21	228970.396	7486670.272	5.3	18	91	4.6	32	12	4	31	48.6	79.6	61
S22	228952.65	7486677.876	5.2	19	81	5.3	33	14	0.02	38	52.3	90.3	58
S23	228934.552	7486685.322	5.3	20	71	4.6	37	14	0.02	34	55.6	89.6	62
S24	228915.09	7486694.456	5.7	21	131	3.8	80	33	0.02	15	116.8	131.8	89
S25	228977.306	7486606.969	5	18	42	3.9	25	9	0.02	34	37.9	71.9	53
AS61c	229039.325	7486623.284	5	22	56	8.2	24	8	0.02	34	40.2	74.2	54
AS62c	229047.043	7486622.868	4.8	20	47	6.9	19	7	1	42	32.9	74.9	44
AS63c	229018.944	7486630.457	5.1	21	66	6.6	28	11	0.02	34	45.6	79.6	57
AS64c	229019.512	7486644.762	5.1	18	50	5.2	29	11	0.02	34	45.2	79.2	57
